AgencyGroupID,GroupCode,GroupName,GroupHead,ClusterCode,ParentGroupCode,DirectorateCode,Added_by,entry_stamp,last_modified_by,last_modified,DELETED,office_type
120,CAR-FO-CBSS-RSCC,"FO Reception and Study Center for Children",NULL,NULL,CAR-FO-PSD-CBSS,CAR,NULL,NULL,NULL,NULL,0,2
121,CAR-FO-CBSS-RSCY,"FO Regional Rehabilitation Center for Youth",NULL,NULL,CAR-FO-PSD-CBSS,CAR,NULL,NULL,NULL,NULL,0,2
122,CAR-FO-COA,"FO Commision on Audit",NULL,NULL,NULL,CAR,NULL,NULL,NULL,NULL,0,2
123,CAR-FO-COMBS-ARRS,"FO Adoption Resource and Referral Section",NULL,NULL,CAR-FO-PSD-COMBS,CAR,NULL,NULL,NULL,NULL,0,2
124,CAR-FO-COMBS-SFP,"FO Supplementary Feeding Program",NULL,NULL,CAR-FO-PSD-COMBS,CAR,NULL,NULL,NULL,NULL,0,2
125,CAR-FO-DRMD,"FO Disaster Response Management Division",NULL,NULL,CAR-FO-OARDO,CAR,NULL,NULL,NULL,NULL,0,2
126,CAR-FO-DRMD-DRIMS,"FO Regional Response & Information Management Section",NULL,NULL,CAR-FO-DRMD,CAR,NULL,NULL,NULL,NULL,0,2
127,CAR-FO-DRMD-DRRMS,"FO Disaster Response Rehabilitation Managment Section",NULL,NULL,CAR-FO-DRMD,CAR,NULL,NULL,NULL,NULL,0,2
128,CAR-FO-DRMD-RROS,"FO Regiona Resource Operation Section",NULL,NULL,CAR-FO-DRMD,CAR,NULL,NULL,NULL,NULL,0,2
129,CAR-FO-FMD,"FO Financial Management Division",NULL,NULL,CAR-FO-OARDA,CAR,NULL,NULL,NULL,NULL,0,2
130,CAR-FO-FMD-AS,"FO Accounting Section",NULL,NULL,CAR-FO-FMD,CAR,NULL,NULL,NULL,NULL,0,2
131,CAR-FO-FMD-BS,"FO Budget Section",NULL,NULL,CAR-FO-FMD,CAR,NULL,NULL,NULL,NULL,0,2
132,CAR-FO-FMD-CS,"FO Cash Section",NULL,NULL,CAR-FO-FMD,CAR,NULL,NULL,NULL,NULL,0,2
133,CAR-FO-HRMDD,"FO Human Resource Management and Development Division",NULL,NULL,CAR-FO-OARDA,CAR,NULL,NULL,NULL,NULL,0,2
134,CAR-FO-HRMDD-HRPPMS,"FO Human Resource Planning and Performance Management Section",NULL,NULL,CAR-FO-HRMDD,CAR,NULL,NULL,NULL,NULL,0,2
135,CAR-FO-HRMDD-HRWS,"FO Human Resource Welfare Section",NULL,NULL,CAR-FO-HRMDD,CAR,NULL,NULL,NULL,NULL,0,2
136,CAR-FO-HRMDD-LDS,"FO Learning and Development Section",NULL,NULL,CAR-FO-HRMDD,CAR,NULL,NULL,NULL,NULL,0,2
137,CAR-FO-HRMDD-PAS,"FO Personal Administration Section",NULL,NULL,CAR-FO-HRMDD,CAR,NULL,NULL,NULL,NULL,0,2
138,CAR-FO-IAU,"FO Internal Audit Unit",NULL,NULL,CAR-FO-ORD,CAR,NULL,NULL,NULL,NULL,0,2
139,CAR-FO-KC,"FO Kalhi-CIDSS PMO",NULL,NULL,CAR-FO-PROSD,CAR,NULL,NULL,NULL,NULL,0,2
140,CAR-FO-LU,"FO Legal Unit",NULL,NULL,CAR-FO-ORD,CAR,NULL,NULL,NULL,NULL,0,2
141,CAR-FO-OARDA,"FO Office of Assistant Regional Director for Administration",NULL,NULL,CAR-FO-ORD,CAR,NULL,NULL,NULL,NULL,0,2
142,CAR-FO-OARDO,"FO Office of Assistant Regional Director for Operation",NULL,NULL,CAR-FO-ORD,CAR,NULL,NULL,NULL,NULL,0,2
143,CAR-FO-ORD,"FO Office of the Regional Director",NULL,NULL,NULL,CAR,NULL,NULL,NULL,NULL,0,2
144,CAR-FO-ORD-STU,"FO Social Technology Unit",NULL,NULL,CAR-FO-ORD,CAR,NULL,NULL,NULL,NULL,0,2
145,CAR-FO-PPD,"FO Policy and Plans Division",NULL,NULL,CAR-FO-ORD,CAR,NULL,NULL,NULL,NULL,0,2
146,CAR-FO-ICTMSx,"FO Information & Planning Communication Technology Section",NULL,NULL,CAR-FO-ORD,CAR,NULL,NULL,3,"2022-10-24 16:41:47",0,2
147,CAR-FO-PPD-NHTS,"FO National Household Targetting Section",NULL,NULL,CAR-FO-ORD,CAR,NULL,NULL,NULL,NULL,0,2
148,CAR-FO-PPD-PDPS,"FO Policy Development and Planning Section",NULL,NULL,CAR-FO-PPD,CAR,NULL,NULL,NULL,NULL,0,2
149,CAR-FO-PPD-SS,"FO Standard Section",NULL,NULL,CAR-FO-ORD,CAR,NULL,NULL,NULL,NULL,0,2
150,CAR-FO-PPD-UCT,"FO Unconditional Cash Transfer",NULL,NULL,CAR-FO-PPD,CAR,NULL,NULL,NULL,NULL,0,2
151,CAR-FO-PROMSD,"FO Promotive Service Division",NULL,NULL,CAR-FO-OARDO,CAR,NULL,NULL,NULL,NULL,0,2
152,CAR-FO-PROMSD-EPAHP,"FO Enhance Partnership Against Hunger and Poverty",NULL,NULL,CAR-FO-PROMSD,CAR,NULL,NULL,NULL,NULL,0,2
153,CAR-FO-PROMSD-SLP,"FO Sustainable Livelihood Program PMO",NULL,NULL,CAR-FO-PROSD,CAR,NULL,NULL,NULL,NULL,0,2
154,CAR-FO-PSD,"FO Protective Service Division",NULL,NULL,CAR-FO-OARDO,CAR,NULL,NULL,NULL,NULL,0,2
155,CAR-FO-PSD-CBS,"FO Capacity Building Section",NULL,NULL,CAR-FO-PSD,CAR,NULL,NULL,NULL,NULL,0,2
156,CAR-FO-PSD-CBSS,"FO Center Based Services Section",NULL,NULL,CAR-FO-PSD,CAR,NULL,NULL,NULL,NULL,0,2
157,CAR-FO-PSD-CIS,"FO Crisis Intervention Section",NULL,NULL,CAR-FO-PSD,CAR,NULL,NULL,NULL,NULL,0,2
158,CAR-FO-PSD-COMBS,"FO Community Based Services Section",NULL,NULL,CAR-FO-PSD,CAR,NULL,NULL,NULL,NULL,0,2
159,CAR-FO-SMU,"FO Social Marketing Unit",NULL,NULL,CAR-FO-ORD,CAR,NULL,NULL,NULL,NULL,0,2
160,CARAGA-FO-4PS-AS,"FO Pantawid - Administrative Section",NULL,NULL,CARAGA-FO-4PS,CARAGA,NULL,NULL,NULL,NULL,0,2
161,CARAGA-FO-4PS-BDM,"FO Pantawid - Beneficiary Data Management Section",NULL,NULL,CARAGA-FO-4PS,CARAGA,NULL,NULL,NULL,NULL,0,2
162,CARAGA-FO-4PS-CBS,"FO Pantawid - Capability Building Division",NULL,NULL,CARAGA-FO-4PS,CARAGA,NULL,NULL,NULL,NULL,0,2
163,CARAGA-FO-4PS-CVS,"FO Pantawid - Compliance Verification Section",NULL,NULL,CARAGA-FO-4PS,CARAGA,NULL,NULL,NULL,NULL,0,2
164,CARAGA-FO-4PS-FDS,"FO Pantawid - Family Development Section",NULL,NULL,CARAGA-FO-4PS,CARAGA,NULL,NULL,NULL,NULL,0,2
165,CARAGA-FO-4PS-GRS,"FO Pantawid - Grievance Redress Section",NULL,NULL,CARAGA-FO-4PS,CARAGA,NULL,NULL,NULL,NULL,0,2
166,CARAGA-FO-4PS-IPD,"FO Pantawid - Institutional Partnership Section",NULL,NULL,CARAGA-FO-4PS,CARAGA,NULL,NULL,NULL,NULL,0,2
167,CARAGA-FO-4PS-MCCT,"FO Pantawid - Modified Conditional Cash Transfer Section",NULL,NULL,CARAGA-FO-4PS,CARAGA,NULL,NULL,NULL,NULL,0,2
168,CARAGA-FO-4PS-OPS,"FO Pantawid - Operation",NULL,NULL,CARAGA-FO-4PS,CARAGA,NULL,NULL,NULL,NULL,0,2
169,CARAGA-FO-4PS-PMES,"FO Pantawid - Planning and Monitoring and Evaluation Section",NULL,NULL,CARAGA-FO-4PS,CARAGA,NULL,NULL,NULL,NULL,0,2
170,CARAGA-FO-4PS-RPMO,"FO Pantawid Regional Program Management Office",NULL,NULL,CARAGA-FO-PROSD,CARAGA,NULL,NULL,NULL,NULL,0,2
171,CARAGA-FO-4PS-SMU,"FO Pantawid - Social Marketing Unit",NULL,NULL,CARAGA-FO-4PS,CARAGA,NULL,NULL,NULL,NULL,0,2
172,CARAGA-FO-4PS-SSDMS,"FO Pantawid - Social Services Delivery and Management Section",NULL,NULL,CARAGA-FO-4PS,CARAGA,NULL,NULL,NULL,NULL,0,2
173,CARAGA-FO-AD,"FO Administrative Division",NULL,NULL,CARAGA-FO-OARDA,CARAGA,NULL,NULL,NULL,NULL,0,2
