AgencyGroupID,GroupCode,GroupName,GroupHead,ClusterCode,ParentGroupCode,DirectorateCode,Added_by,entry_stamp,last_modified_by,last_modified,DELETED,office_type
139,CAR-FO-KC,FO Kalhi-CIDSS PMO,NULL,NULL,CAR-FO-PROSD,14,NULL,NULL,NULL,NULL,0,2
140,CAR-FO-LU,FO Legal Unit,NULL,NULL,CAR-FO-ORD,14,NULL,NULL,NULL,NULL,0,2
141,CAR-FO-OARDA,FO Office of Assistant Regional Director for Administration,NULL,NULL,CAR-FO-ORD,14,NULL,NULL,NULL,NULL,0,2
142,CAR-FO-OARDO,FO Office of Assistant Regional Director for Operation,NULL,NULL,CAR-FO-ORD,14,NULL,NULL,NULL,NULL,0,2
143,CAR-FO-ORD,FO Office of the Regional Director,NULL,NULL,NULL,14,NULL,NULL,NULL,NULL,0,2
144,CAR-FO-ORD-STU,FO Social Technology Unit,NULL,NULL,CAR-FO-ORD,14,NULL,NULL,NULL,NULL,0,2
145,CAR-FO-PPD,FO Policy and Plans Division,NULL,NULL,CAR-FO-ORD,14,NULL,NULL,NULL,NULL,0,2
146,CAR-FO-ICTMSx,FO Information & Planning Communication Technology Section,NULL,NULL,CAR-FO-ORD,14,NULL,NULL,3,10/24/2022 16:41,0,2
147,CAR-FO-PPD-NHTS,FO National Household Targetting Section,NULL,NULL,CAR-FO-ORD,14,NULL,NULL,NULL,NULL,0,2
148,CAR-FO-PPD-PDPS,FO Policy Development and Planning Section,NULL,NULL,CAR-FO-PPD,14,NULL,NULL,NULL,NULL,0,2
149,CAR-FO-PPD-SS,FO Standard Section,NULL,NULL,CAR-FO-ORD,14,NULL,NULL,NULL,NULL,0,2
150,CAR-FO-PPD-UCT,FO Unconditional Cash Transfer,NULL,NULL,CAR-FO-PPD,14,NULL,NULL,NULL,NULL,0,2
151,CAR-FO-PROMSD,FO Promotive Service Division,NULL,NULL,CAR-FO-OARDO,14,NULL,NULL,NULL,NULL,0,2
152,CAR-FO-PROMSD-EPAHP,FO Enhance Partnership Against Hunger and Poverty,NULL,NULL,CAR-FO-PROMSD,14,NULL,NULL,NULL,NULL,0,2
153,CAR-FO-PROMSD-SLP,FO Sustainable Livelihood Program PMO,NULL,NULL,CAR-FO-PROSD,14,NULL,NULL,NULL,NULL,0,2
154,CAR-FO-PSD,FO Protective Service Division,NULL,NULL,CAR-FO-OARDO,14,NULL,NULL,NULL,NULL,0,2
155,CAR-FO-PSD-CBS,FO Capacity Building Section,NULL,NULL,CAR-FO-PSD,14,NULL,NULL,NULL,NULL,0,2
156,CAR-FO-PSD-CBSS,FO Center Based Services Section,NULL,NULL,CAR-FO-PSD,14,NULL,NULL,NULL,NULL,0,2
157,CAR-FO-PSD-CIS,FO Crisis Intervention Section,NULL,NULL,CAR-FO-PSD,14,NULL,NULL,NULL,NULL,0,2
158,CAR-FO-PSD-COMBS,FO Community Based Services Section,NULL,NULL,CAR-FO-PSD,14,NULL,NULL,NULL,NULL,0,2
159,CAR-FO-SMU,FO Social Marketing Unit,NULL,NULL,CAR-FO-ORD,14,NULL,NULL,NULL,NULL,0,2
160,CARAGA-FO-4PS-AS,FO Pantawid - Administrative Section,NULL,NULL,CARAGA-FO-4PS,16,NULL,NULL,NULL,NULL,0,2
161,CARAGA-FO-4PS-BDM,FO Pantawid - Beneficiary Data Management Section,NULL,NULL,CARAGA-FO-4PS,16,NULL,NULL,NULL,NULL,0,2
162,CARAGA-FO-4PS-CBS,FO Pantawid - Capability Building Division,NULL,NULL,CARAGA-FO-4PS,16,NULL,NULL,NULL,NULL,0,2
163,CARAGA-FO-4PS-CVS,FO Pantawid - Compliance Verification Section,NULL,NULL,CARAGA-FO-4PS,16,NULL,NULL,NULL,NULL,0,2
164,CARAGA-FO-4PS-FDS,FO Pantawid - Family Development Section,NULL,NULL,CARAGA-FO-4PS,16,NULL,NULL,NULL,NULL,0,2
165,CARAGA-FO-4PS-GRS,FO Pantawid - Grievance Redress Section,NULL,NULL,CARAGA-FO-4PS,16,NULL,NULL,NULL,NULL,0,2
